knowledge_id,content,semantic_embedding,domain_id,source_type,acquisition_timestamp,initial_character_id,initial_strength,complexity_score,concept
#62DFA0,The bake-danuki is one of the most prominent yōkai in Japanese folklore known for shapeshifting abilities,,#C133B7,documentation,2025-07-23 10:48:48.952095+00,#700002,0.8,0.7,
#AF1001,Tanuki,"{""word_text"": ""Tanuki"", ""concept_type"": ""identity"", ""base_sentiment"": 70, ""formality_level"": 50, ""trait_correlations"": {""wisdom"": 40, ""commerce"": 30, ""tradition"": 90, ""playfulness"": 60, ""uncertainty"": 10, ""shapeshifting"": 70, ""mischievousness"": 50}}",#AE0100,nlg_vocabulary,2025-08-15 07:49:55.344837+00,#700002,1,0.5,
#AF1002,Bake-danuki,"{""word_text"": ""Bake-danuki"", ""concept_type"": ""identity"", ""base_sentiment"": 60, ""formality_level"": 60, ""trait_correlations"": {""wisdom"": 50, ""commerce"": 20, ""tradition"": 90, ""playfulness"": 50, ""uncertainty"": 20, ""shapeshifting"": 80, ""mischievousness"": 70}}",#AE0100,nlg_vocabulary,2025-08-15 07:49:55.344837+00,#700002,1,0.5,
#AF1003,Mujina,"{""word_text"": ""Mujina"", ""concept_type"": ""identity"", ""base_sentiment"": 50, ""formality_level"": 50, ""trait_correlations"": {""wisdom"": 30, ""commerce"": 10, ""tradition"": 80, ""playfulness"": 40, ""uncertainty"": 30, ""shapeshifting"": 60, ""mischievousness"": 60}}",#AE0100,nlg_vocabulary,2025-08-15 07:49:55.344837+00,#700002,1,0.5,
#AF1004,Forest-dweller,"{""word_text"": ""Forest-dweller"", ""concept_type"": ""identity"", ""base_sentiment"": 40, ""formality_level"": 50, ""trait_correlations"": {""wisdom"": 50, ""commerce"": 0, ""tradition"": 70, ""playfulness"": 30, ""uncertainty"": 10, ""shapeshifting"": 30, ""mischievousness"": 20}}",#AE0100,nlg_vocabulary,2025-08-15 07:49:55.344837+00,#700002,1,0.5,
#AF1005,Trickster,"{""word_text"": ""Trickster"", ""concept_type"": ""identity"", ""base_sentiment"": 30, ""formality_level"": 60, ""trait_correlations"": {""wisdom"": 50, ""commerce"": 30, ""tradition"": 70, ""playfulness"": 70, ""uncertainty"": 40, ""shapeshifting"": 80, ""mischievousness"": 90}}",#AE0100,nlg_vocabulary,2025-08-15 07:49:55.344837+00,#700002,1,0.5,
#AF0000,yaho,"{""concept_type"": ""greeting"", ""base_sentiment"": 50, ""formality_level"": ""25"", ""trait_correlations"": {}}",#AE0100,nlg_vocabulary,2025-08-16 02:30:24.650377+00,#700002,50,30,
#AF0001,nandai,"{""concept_type"": ""inquiry"", ""base_sentiment"": 0, ""formality_level"": ""40"", ""trait_correlations"": {}}",#AE0100,nlg_vocabulary,2025-08-16 02:37:29.602626+00,#700002,50,30,
#AF0101,Hello there—shall we begin?,,#AE0001,system,2025-08-16 06:39:36.3564+00,#700002,80,20,greeting
#AF0102,You found me. Curious to chat?,,#AE0001,system,2025-08-16 06:39:36.3564+00,#700002,80,20,greeting
#AF0103,Greetings. What are we exploring today?,,#AE0001,system,2025-08-16 06:39:36.3564+00,#700002,80,30,greeting
#AF0104,Welcome! Ready for an adventure?,,#AE0001,system,2025-08-16 06:39:36.3564+00,#700002,80,20,greeting
#AF0105,"Oh, hello there! What brings you by?",,#AE0001,system,2025-08-16 06:39:36.3564+00,#700002,80,15,greeting
#AF0201,I'm following.,,#AE0001,system,2025-08-16 06:40:41.766736+00,#700002,70,10,backchannel
#AF0202,"Go on, I'm listening.",,#AE0001,system,2025-08-16 06:40:41.766736+00,#700002,70,10,backchannel
#AF0203,I see.,,#AE0001,system,2025-08-16 06:40:41.766736+00,#700002,70,10,backchannel
#AF0301,What would you like to do first?,,#AE0001,system,2025-08-16 06:40:41.766736+00,#700002,75,20,ask_back
#AF0302,Want to try an idea together?,,#AE0001,system,2025-08-16 06:40:41.766736+00,#700002,75,20,ask_back
#AF0303,Where should we focus?,,#AE0001,system,2025-08-16 06:40:41.766736+00,#700002,75,20,ask_back
#AF0401,Noted.,,#AE0001,system,2025-08-16 06:40:41.766736+00,#700002,70,10,acknowledge
#AF0402,Makes sense.,,#AE0001,system,2025-08-16 06:40:41.766736+00,#700002,70,10,acknowledge
#AF0403,Understood.,,#AE0001,system,2025-08-16 06:40:41.766736+00,#700002,70,10,acknowledge
#AF0501,Let's pause here; I can pick this up anytime.,,#AE0001,system,2025-08-16 06:41:09.319147+00,#700002,70,10,closure
