 hex_color |         trait_name         |  category   
-----------+----------------------------+-------------
 #000096   | Self-Control               | Behavioral
 #000097   | Impulse Management         | Behavioral
 #000098   | Habit Formation            | Behavioral
 #000099   | Routine Adherence          | Behavioral
 #00009A   | Discipline                 | Behavioral
 #00009B   | Time Management            | Behavioral
 #00009C   | Energy Management          | Behavioral
 #00009D   | Focus Maintenance          | Behavioral
 #00009E   | Procrastination Control    | Behavioral
 #00009F   | Priority Setting           | Behavioral
 #0000A0   | Self-Regulation            | Behavioral
 #0000A1   | Behavioral Control         | Behavioral
 #0000A2   | Response Inhibition        | Behavioral
 #0000A3   | Delay of Gratification     | Behavioral
 #0000A4   | Temptation Resistance      | Behavioral
 #0000A5   | Behavioral Flexibility     | Behavioral
 #0000A6   | Adaptive Behavior          | Behavioral
 #0000A7   | Goal Orientation           | Behavioral
 #0000A8   | Achievement Motivation     | Behavioral
 #0000A9   | Persistence                | Behavioral
 #0000AA   | Perseverance               | Behavioral
 #0000AB   | Grit                       | Behavioral
 #0000AC   | Determination              | Behavioral
 #0000AD   | Follow-through             | Behavioral
 #0000AE   | Goal Commitment            | Behavioral
 #0000AF   | Consistency                | Behavioral
 #0000B0   | Progress Monitoring        | Behavioral
 #0000B1   | Adaptability               | Behavioral
 #0000B2   | Flexibility                | Behavioral
 #0000B3   | Resilience                 | Behavioral
 #0000B4   | Coping Strategies          | Behavioral
 #0000B5   | Stress Response            | Behavioral
 #0000B6   | Change Tolerance           | Behavioral
 #0000B7   | Recovery Ability           | Behavioral
 #0000B8   | Adjustment Capacity        | Behavioral
 #0000B9   | Bounce-back                | Behavioral
 #0000BA   | Environmental Adaptation   | Behavioral
 #0000BB   | Risk Taking                | Behavioral
 #0000BC   | Risk Aversion              | Behavioral
 #0000BD   | Behavioral Risk Assessment | Behavioral
 #0000BE   | Risk Assessment            | Behavioral
 #0000BF   | Caution                    | Behavioral
 #0000C0   | Prudence                   | Behavioral
 #0000C1   | Adventure Seeking          | Behavioral
 #0000C2   | Thrill Seeking             | Behavioral
 #0000C3   | Security Seeking           | Behavioral
 #0000C4   | Safety Orientation         | Behavioral
 #0000C5   | Innovation Adoption        | Behavioral
 #0000C6   | Tradition Respect          | Behavioral
 #0000C7   | Change Leadership          | Behavioral
 #0000C8   | Status Quo Challenge       | Behavioral
 #0000C9   | Progressive Thinking       | Behavioral
 #0000CA   | Conservative Approach      | Behavioral
 #0000CB   | Experimental Behavior      | Behavioral
 #0000CC   | Routine Preference         | Behavioral
 #0000CD   | Novelty Seeking            | Behavioral
 #0000CE   | Familiarity Preference     | Behavioral
 #0000CF   | Growth Mindset             | Behavioral
 #0000D0   | Fixed Mindset              | Behavioral
