character_id,knowledge_id,current_retrievability,stability,difficulty,last_review_timestamp,next_review_timestamp,grade_history,acquisition_method,current_expertise_score,is_mastered,is_forgotten
#700002,#62DFA0,0.5,3,5,2025-11-04 23:48:16.324+00,2025-11-05 23:48:16.324+00,[],self-created,50,f,f
#700002,#AF1004,1,10,5,,,[],,0,f,f
#700002,#AF1005,1,10,5,,,[],,0,f,f
#700002,#AF0101,1,10,5,,,[],,0,f,f
#700002,#AF0102,1,10,5,,,[],,0,f,f
#700002,#AF0103,1,10,5,,,[],,0,f,f
#700002,#AF0104,1,10,5,,,[],,0,f,f
#700002,#AF0105,1,10,5,,,[],,0,f,f
#700002,#AF0201,1,10,5,,,[],,0,f,f
#700002,#AF0202,1,10,5,,,[],,0,f,f
#700002,#AF0203,1,10,5,,,[],,0,f,f
#700002,#AF0301,1,10,5,,,[],,0,f,f
#700002,#AF0302,1,10,5,,,[],,0,f,f
#700002,#AF0303,1,10,5,,,[],,0,f,f
#700002,#AF0401,1,10,5,,,[],,0,f,f
#700002,#AF0402,1,10,5,,,[],,0,f,f
#700002,#AF0403,1,10,5,,,[],,0,f,f
#700002,#AF0501,1,10,5,,,[],,0,f,f
#700002,#AF0502,1,10,5,,,[],,0,f,f
#700002,#AF0503,1,10,5,,,[],,0,f,f
#700002,#AF0106,1,10,5,,,[],,0,f,f
#700002,#AF0107,1,10,5,,,[],,0,f,f
#700002,#AF0108,1,10,5,,,[],,0,f,f
#700002,#AF0109,1,10,5,,,[],,0,f,f
#700002,#AF0110,1,10,5,,,[],,0,f,f
#700002,#AF0111,1,10,5,,,[],,0,f,f
#700002,#AF0112,1,10,5,,,[],,0,f,f
#700002,#AF0113,1,10,5,,,[],,0,f,f
#700002,#AF0114,1,10,5,,,[],,0,f,f
#700002,#AF1001,0.55,3,5,2025-11-06 04:27:39.45+00,2025-11-07 04:27:39.45+00,[],retrieval,55.00000000000001,f,f
#700002,#AF0001,0.3,3,5,2025-11-06 04:27:39.45+00,2025-11-07 04:27:39.45+00,[],retrieval,30,f,f
#700002,#AF0000,0.3,3,5,2025-11-06 04:27:39.45+00,2025-11-07 04:27:39.45+00,[],retrieval,30,f,f
#700002,#AF1002,0.3,3,5,2025-11-06 04:27:39.45+00,2025-11-07 04:27:39.45+00,[],retrieval,30,f,f
#700002,#AF1003,0.3,3,5,2025-11-06 04:27:39.45+00,2025-11-07 04:27:39.45+00,[],retrieval,30,f,f
#700002,#AF0115,1,10,5,,,[],,0,f,f
#700002,#AF0304,1,10,5,,,[],,0,f,f
#700002,#AF0306,1,10,5,,,[],,0,f,f
#700002,#AF0307,1,10,5,,,[],,0,f,f
#700002,#AF0308,1,10,5,,,[],,0,f,f
#700002,#AF0204,1,10,5,,,[],,0,f,f
#700002,#AF0206,1,10,5,,,[],,0,f,f
#700002,#AF0207,1,10,5,,,[],,0,f,f
#700002,#AF0208,1,10,5,,,[],,0,f,f
#700002,#AF0205,0.25,3,5,2025-11-06 04:16:38.228+00,2025-11-07 04:16:38.228+00,[],,25,f,f
#700002,#AF0305,0.25,3,5,2025-11-06 04:16:38.228+00,2025-11-07 04:16:38.228+00,[],,25,f,f
#700002,#600002,0.8,3,5,2025-11-06 04:59:15.367+00,2025-11-07 04:59:15.367+00,[],retrieval,80,f,f
#700002,#600003,0.8,3,5,2025-11-06 04:59:15.367+00,2025-11-07 04:59:15.367+00,[],retrieval,80,f,f
#700002,#600005,0.8,3,5,2025-11-06 04:59:15.367+00,2025-11-07 04:59:15.367+00,[],retrieval,80,f,f
#700002,#600006,0.8,3,5,2025-11-06 04:59:15.367+00,2025-11-07 04:59:15.367+00,[],retrieval,80,f,f
#700002,#600013,0.55,3,5,2025-11-06 04:59:15.367+00,2025-11-07 04:59:15.367+00,[],retrieval,55.00000000000001,f,f
#700005,#600002,0.8,3,5,2025-11-06 14:06:48.016+00,2025-11-07 14:06:48.016+00,[],retrieval,80,f,f
#700005,#600003,0.8,3,5,2025-11-06 14:06:48.016+00,2025-11-07 14:06:48.016+00,[],retrieval,80,f,f
#700005,#600005,0.8,3,5,2025-11-06 14:06:48.016+00,2025-11-07 14:06:48.016+00,[],retrieval,80,f,f
#700005,#600006,0.8,3,5,2025-11-06 14:06:48.016+00,2025-11-07 14:06:48.016+00,[],retrieval,80,f,f
#700005,#600010,0.8,3,5,2025-11-06 14:06:48.016+00,2025-11-07 14:06:48.016+00,[],retrieval,80,f,f
#700002,#AF0002,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0003,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0004,0.8,2.5,0.3,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0005,0.8,2.5,0.3,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0006,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0007,0.8,2.5,0.3,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0008,0.8,2.5,0.1,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF0009,0.8,2.5,0.1,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF000A,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF000B,0.8,2.5,0.2,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF000C,0.8,2.5,0.3,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
#700002,#AF000D,0.8,2.5,0.3,2025-11-07 10:41:52.280197+00,,[],direct_upload,0.7,f,f
